country;1997;2002;2007
Afghanistan;41.763;42.129;43.828
Albania;72.95;75.651;76.423
Algeria;69.152;70.994;72.301
Angola;40.963;41.003;42.731
Argentina;73.275;74.34;75.32
Australia;78.83;80.37;81.235
Austria;77.51;78.98;79.829
Bahrain;73.925;74.795;75.635
Bangladesh;59.412;62.013;64.062
Belgium;77.53;78.32;79.441
Benin;54.777;54.406;56.728
Bolivia;62.05;63.883;65.554
Bosnia and Herzegovina;73.244;74.09;74.852
Botswana;52.556;46.634;50.728
Brazil;69.388;71.006;72.39
Bulgaria;70.32;72.14;73.005
Burkina Faso;50.324;50.65;52.295
Burundi;45.326;47.36;49.58
Cambodia;56.534;56.752;59.723
Cameroon;52.199;49.856;50.43
Canada;78.61;79.77;80.653
Central African Republic;46.066;43.308;44.741
Chad;51.573;50.525;50.651
Chile;75.816;77.86;78.553
China;70.426;72.028;72.961
Colombia;70.313;71.682;72.889
Comoros;60.66;62.974;65.152
Congo, Dem. Rep.;42.587;44.966;46.462
Congo, Rep.;52.962;52.97;55.322
Costa Rica;77.26;78.123;78.782
Cote d'Ivoire;47.991;46.832;48.328
Croatia;73.68;74.876;75.748
Cuba;76.151;77.158;78.273
Czech Republic;74.01;75.51;76.486
Denmark;76.11;77.18;78.332
Djibouti;53.157;53.373;54.791
Dominican Republic;69.957;70.847;72.235
Ecuador;72.312;74.173;74.994
Egypt;67.217;69.806;71.338
El Salvador;69.535;70.734;71.878
Equatorial Guinea;48.245;49.348;51.579
Eritrea;53.378;55.24;58.04
Ethiopia;49.402;50.725;52.947
Finland;77.13;78.37;79.313
France;78.64;79.59;80.657
Gabon;60.461;56.761;56.735
Gambia;55.861;58.041;59.448
Germany;77.34;78.67;79.406
Ghana;58.556;58.453;60.022
Greece;77.869;78.256;79.483
Guatemala;66.322;68.978;70.259
Guinea;51.455;53.676;56.007
Guinea-Bissau;44.873;45.504;46.388
Haiti;56.671;58.137;60.916
Honduras;67.659;68.565;70.198
Hong Kong, China;80;81.495;82.208
Hungary;71.04;72.59;73.338
Iceland;78.95;80.5;81.757
India;61.765;62.879;64.698
Indonesia;66.041;68.588;70.65
Iran;68.042;69.451;70.964
Iraq;58.811;57.046;59.545
Ireland;76.122;77.783;78.885
Israel;78.269;79.696;80.745
Italy;78.82;80.24;80.546
Jamaica;72.262;72.047;72.567
Japan;80.69;82;82.603
Jordan;69.772;71.263;72.535
Kenya;54.407;50.992;54.11
Korea, Dem. Rep.;67.727;66.662;67.297
Korea, Rep.;74.647;77.045;78.623
Kuwait;76.156;76.904;77.588
Lebanon;70.265;71.028;71.993
Lesotho;55.558;44.593;42.592
Liberia;42.221;43.753;45.678
Libya;71.555;72.737;73.952
Madagascar;54.978;57.286;59.443
Malawi;47.495;45.009;48.303
Malaysia;71.938;73.044;74.241
Mali;49.903;51.818;54.467
Mauritania;60.43;62.247;64.164
Mauritius;70.736;71.954;72.801
Mexico;73.67;74.902;76.195
Mongolia;63.625;65.033;66.803
Montenegro;75.445;73.981;74.543
Morocco;67.66;69.615;71.164
Mozambique;46.344;44.026;42.082
Myanmar;60.328;59.908;62.069
Namibia;58.909;51.479;52.906
Nepal;59.426;61.34;63.785
Netherlands;78.03;78.53;79.762
New Zealand;77.55;79.11;80.204
Nicaragua;68.426;70.836;72.899
Niger;51.313;54.496;56.867
Nigeria;47.464;46.608;46.859
Norway;78.32;79.05;80.196
Oman;72.499;74.193;75.64
Pakistan;61.818;63.61;65.483
Panama;73.738;74.712;75.537
Paraguay;69.4;70.755;71.752
Peru;68.386;69.906;71.421
Philippines;68.564;70.303;71.688
Poland;72.75;74.67;75.563
Portugal;75.97;77.29;78.098
Puerto Rico;74.917;77.778;78.746
Reunion;74.772;75.744;76.442
Romania;69.72;71.322;72.476
Rwanda;36.087;43.413;46.242
Sao Tome and Principe;63.306;64.337;65.528
Saudi Arabia;70.533;71.626;72.777
Senegal;60.187;61.6;63.062
Serbia;72.232;73.213;74.002
Sierra Leone;39.897;41.012;42.568
Singapore;77.158;78.77;79.972
Slovak Republic;72.71;73.8;74.663
Slovenia;75.13;76.66;77.926
Somalia;43.795;45.936;48.159
South Africa;60.236;53.365;49.339
Spain;78.77;79.78;80.941
Sri Lanka;70.457;70.815;72.396
Sudan;55.373;56.369;58.556
Swaziland;54.289;43.869;39.613
Sweden;79.39;80.04;80.884
Switzerland;79.37;80.62;81.701
Syria;71.527;73.053;74.143
Taiwan;75.25;76.99;78.4
Tanzania;48.466;49.651;52.517
Thailand;67.521;68.564;70.616
Togo;58.39;57.561;58.42
Trinidad and Tobago;69.465;68.976;69.819
Tunisia;71.973;73.042;73.923
Turkey;68.835;70.845;71.777
Uganda;44.578;47.813;51.542
United Kingdom;77.218;78.471;79.425
United States;76.81;77.31;78.242
Uruguay;74.223;75.307;76.384
Venezuela;72.146;72.766;73.747
Vietnam;70.672;73.017;74.249
West Bank and Gaza;71.096;72.37;73.422
Yemen, Rep.;58.02;60.308;62.698
Zambia;40.238;39.193;42.384
Zimbabwe;46.809;39.989;43.487
